COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Cindy Cash,David K. Setzer,Eusebio (Joe) Trujillo III,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,238,PCT 238,3923,1715,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,239,PCT 239,4257,2284,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,240,PCT 240,6041,3348,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,241,PCT 241,1507,870,3,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,242,PCT 242,3356,1912,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,243,PCT 243,1517,915,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,244,PCT 244,3107,1762,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,245,PCT 245,2774,1151,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,246,PCT 246,2832,1691,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,247,PCT 247,2148,1364,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,248,PCT 248,2116,1087,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
COLL,249,PCT LB 96,0,380,0,0,0,0,0,0,Eusebio (Joe) Trujillo III,Eusebio
