COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Ben Smith,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,183,PCT 183,171,120,0,82,0,38,Rep Ben Smith,Rep
COLL,184,PCT 184,3360,1910,0,1039,0,871,Rep Ben Smith,Rep
COLL,185,PCT 185,3352,2450,1,1687,0,763,Rep Ben Smith,Rep
COLL,186,PCT 186,764,536,0,442,0,94,Rep Ben Smith,Rep
COLL,187,PCT 187,1044,697,0,462,0,235,Rep Ben Smith,Rep
COLL,188,PCT 188,731,488,0,324,0,164,Rep Ben Smith,Rep
COLL,189,PCT 189,1473,1016,0,791,0,225,Rep Ben Smith,Rep
COLL,190,PCT 190,1038,802,0,612,0,190,Rep Ben Smith,Rep
COLL,191,PCT 191,967,582,1,382,0,200,Rep Ben Smith,Rep
COLL,192,PCT 192,4114,2896,0,2160,0,736,Rep Ben Smith,Rep
COLL,193,PCT 193,1341,896,0,671,0,225,Rep Ben Smith,Rep
COLL,194,PCT 194,3375,2400,0,1645,0,754,Rep Ben Smith,Rep
COLL,195,PCT 195,935,674,0,507,0,167,Rep Ben Smith,Rep
COLL,196,PCT 196,2001,1352,0,835,0,517,Rep Ben Smith,Rep
COLL,197,PCT 197,1270,858,0,456,0,402,Rep Ben Smith,Rep
COLL,198,PCT 198,2904,2327,0,1542,0,784,Rep Ben Smith,Rep
COLL,199,PCT 199,4135,3196,0,2354,0,842,Rep Ben Smith,Rep
COLL,200,PCT 200,2726,1894,0,1347,0,547,Rep Ben Smith,Rep
COLL,201,PCT 201,0,0,0,0,0,0,Rep Ben Smith,Rep
COLL,202,PCT 202,2,2,0,0,0,2,Rep Ben Smith,Rep
COLL,203,PCT 203,3182,2344,0,1533,0,811,Rep Ben Smith,Rep
COLL,204,PCT 204,354,282,0,191,0,91,Rep Ben Smith,Rep
COLL,205,PCT 205,4103,2879,2,1705,0,1174,Rep Ben Smith,Rep
COLL,206,PCT 206,2002,1431,0,949,0,482,Rep Ben Smith,Rep
COLL,207,PCT 207,4081,2925,1,1883,0,1042,Rep Ben Smith,Rep
COLL,208,PCT 208,4359,3323,0,2216,0,1107,Rep Ben Smith,Rep
COLL,209,PCT 209,172,125,0,81,0,43,Rep Ben Smith,Rep
COLL,210,PCT 210,1746,1290,0,650,0,640,Rep Ben Smith,Rep
COLL,211,PCT 211,3433,2455,0,1505,0,950,Rep Ben Smith,Rep
COLL,212,PCT 212,2600,1945,0,1139,0,806,Rep Ben Smith,Rep
COLL,213,PCT 213,3697,2611,0,1547,0,1064,Rep Ben Smith,Rep
COLL,214,PCT 214,3776,2920,0,2228,0,692,Rep Ben Smith,Rep
COLL,215,PCT 215,3503,2092,1,1345,0,747,Rep Ben Smith,Rep
COLL,216,PCT 216,4771,3565,0,2569,0,996,Rep Ben Smith,Rep
