COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,Dem Colin Allred,Lib Ted Brown,Rep Ted Cruz,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,236,PCT 236,3015,2217,1,3,876,41,1273,0,24,Rep Ted Cruz,Rep,236
COLL,237,PCT 237,2345,1522,3,2,723,32,716,0,49,Dem Colin Allred,Dem,237
COLL,238,PCT 238,4043,2583,0,4,1393,63,1076,0,47,Dem Colin Allred,Dem,238
COLL,239,PCT 239,4293,3051,0,3,937,56,2012,0,43,Rep Ted Cruz,Rep,239
COLL,240,PCT 240,4358,3212,0,1,1007,60,2099,0,45,Rep Ted Cruz,Rep,240
COLL,241,PCT 241,1549,1115,0,3,533,39,521,0,19,Dem Colin Allred,Dem,241
COLL,242,PCT 242,3578,2604,0,1,1205,61,1291,0,46,Rep Ted Cruz,Rep,242
COLL,243,PCT 243,1684,1272,0,0,427,34,790,0,21,Rep Ted Cruz,Rep,243
COLL,244,PCT 244,3235,2337,0,2,1055,39,1200,0,41,Rep Ted Cruz,Rep,244
COLL,245,PCT 245,2764,1651,0,4,785,43,790,0,29,Rep Ted Cruz,Rep,245
COLL,246,PCT 246,2859,2137,1,4,1035,44,1019,0,35,Dem Colin Allred,Dem,246
COLL,247,PCT 247,2436,1876,0,3,606,31,1215,0,21,Rep Ted Cruz,Rep,247
COLL,248,PCT 248,2328,1645,0,3,759,47,807,0,29,Rep Ted Cruz,Rep,248
COLL,249,PCT 249,4743,3053,0,1,1166,82,1760,0,44,Rep Ted Cruz,Rep,249
COLL,250,PCT 250,3886,3025,0,4,1563,76,1312,0,70,Dem Colin Allred,Dem,250
COLL,251,PCT 251,2568,1852,0,1,660,29,1137,0,25,Rep Ted Cruz,Rep,251
COLL,252,PCT 252,3149,2338,0,0,740,37,1528,0,33,Rep Ted Cruz,Rep,252
COLL,253,PCT 253,3111,2203,1,0,1135,61,966,0,40,Dem Colin Allred,Dem,123
COLL,254,PCT 254,1286,806,0,0,393,23,374,0,16,Dem Colin Allred,Dem,48
COLL,255,PCT 255,3292,2440,1,0,897,50,1463,0,31,Rep Ted Cruz,Rep,26
COLL,256,PCT 256,767,540,0,0,145,13,376,0,6,Rep Ted Cruz,Rep,30
COLL,257,PCT 257,1342,890,1,1,393,18,460,0,18,Rep Ted Cruz,Rep,2
COLL,258,PCT 258,3045,2073,1,4,1166,72,784,0,47,Dem Colin Allred,Dem,72
COLL,259,PCT 259,3698,2420,0,1,1093,55,1227,0,45,Rep Ted Cruz,Rep,40
COLL,260,PCT 260,438,319,0,0,74,4,235,0,5,Rep Ted Cruz,Rep,2
COLL,261,PCT 261,3221,2306,0,2,911,32,1335,0,26,Rep Ted Cruz,Rep,135
COLL,262,PCT 262,3038,2081,0,2,1153,52,832,0,42,Dem Colin Allred,Dem,97
COLL,263,PCT 263,2055,1544,1,1,533,29,957,0,24,Rep Ted Cruz,Rep,11
COLL,264,PCT 264,3994,2746,0,5,1207,52,1453,0,30,Rep Ted Cruz,Rep,24
COLL,265,PCT 265,0,0,0,0,0,0,0,0,0,Dem Colin Allred,Dem,0
COLL,266,PCT 266,62,42,0,0,24,1,17,0,1,Dem Colin Allred,Dem,1
COLL,267,PCT 267,19,13,0,0,7,0,5,0,0,Dem Colin Allred,Dem,0
